vendor,market,category,services_signal,source_url,acquirability_score_1_5,acquirability_notes,wedge_relevance
Energy Heights Services,NYC,Compliance admin / benchmarking,"LL84, LL97, LL87, LL33, GFA reporting, DOB violation monitoring, CDG/community solar; founded 2016; serves owners, PMs, co-op/condo boards",https://energyheights.com/about,4,"Looks like focused compliance-services firm with software/process deliverables; plausible small acquisition if owner-led and not too scaled","Strong benchmark for concierge + filing layer"
Retro Energy Group,NYC,Software / workflow,"Instant LL97 screening, PDF report, portfolio dashboard; pricing free/$299/$99mo/$499mo",https://www.retroenergygroup.com/,3,"Looks software-first and likely early-stage; buyable only if founder wants exit; better as product pattern than operating acquisition","Best evidence that lightweight productized LL97 tooling has demand"
BenchmarkIQ,NYC,Software / automated benchmarking,"Automated LL84 benchmarking via utility connections; $49/mo; cites consultant alternative $400-$800/year",https://benchmarkiq.app/,3,"Early product likely small; acquirability unknown; narrow benchmarking wedge","Evidence for low-ticket recurring workflow"
DE Energy Consultants,NYC,Owner advisory / engineering,"LL97 strategy, owner representation, project management, incentive navigation; independent of contractors",https://deenergyconsultants.com/,3,"Potential owner-led boutique but engineering/advisory heavy; diligence credentials and revenue concentration","Good model for high-ticket concierge but labor-intensive"
EDK Solutions,NYC,Energy consulting / calculator,"PTAC vs PTHP analysis, LL97 strategy, energy audits, implementation support",https://edk-solutions.com/,3,"Founder-led specialist; likely small enough but technical key-person risk","Good niche calculator-to-consulting funnel"
Hemlock Capital Advisors,NYC,Capital advisory / compliance platform,"LL97, LL87, LL96, LL152, FISP stack; benchmarking, audits, DOB mitigation, capital strategy",https://hemlockcapitaladvisors.com/,3,"More finance/advisory thesis than simple compliance shop; may be early-stage","Useful bundling model: compliance + financing"
Altanova,NYC,Sustainability consulting,"NYC Accelerator LL97 expo vendor; LL84/LL87/LL88/LL97, audits, commissioning, modeling, carbon benchmarking, utility reviews",https://accelerator.nyc/sites/default/files/NYC_Accelerator_2025_LL97_Compliance_Service_Provider_Expo_Vendor_Directory.pdf,2,"Professional sustainability consulting; likely less SBA/operator fit","Shows crowded engineer/consultant vendor pool"
Air Seal Insulation Systems,NYC,Insulation contractor,"NYC Accelerator vendor; spray foam/blown-in insulation; claims 1,000+ multifamily buildings upgraded in two years",https://accelerator.nyc/sites/default/files/NYC_Accelerator_2025_LL97_Compliance_Service_Provider_Expo_Vendor_Directory.pdf,4,"Trade contractor with retrofit demand; acquirability better than consultants if local owner-led","Possible buy-and-refer execution arm"
American Plant Maintenance / APM Steam,NYC/Boston,Steam systems contractor,"NYC Accelerator vendor; steam-trap surveys, repair costs, savings reports; Boston phone",https://accelerator.nyc/sites/default/files/NYC_Accelerator_2025_LL97_Compliance_Service_Provider_Expo_Vendor_Directory.pdf,3,"Specialized O&M contractor; buyable if regional route-like service book exists","Strong narrow retrofit vertical for steam-heavy buildings"
ICO Energy and Engineering,Boston,Engineering / commissioning,"Boston firm; commissioning, energy audits, metering, MBCx, BERDO 2.0 third-party verification",https://www.ico-energy.com/,2,"Engineering firm with larger institutional markets; not ideal small-owner acquisition","Useful partner/referral target"
Greene Energy Consultants,Boston/NYC/Cambridge,Engineering / filing,"35-year firm; BERDO 2.0 engineering/filing, Cambridge BEUDO filing, NYC LL84/87/97",https://greeneenergyconsultants.com/our-work,2,"Professional-services/engineering heavy; owner dependence and credentials matter","Strong evidence cross-city compliance boutiques exist"
Vanderweil,Boston/NYC,Large MEP / commissioning,"Commissioning, retro-commissioning, energy benchmarking and commissioning for BERDO, LL87, Title 24, NYSERDA",https://www.vanderweil.com/service/commissioning/,1,"Large engineering firm, not Dan-sized acquisition","Partner/competitor for institutional jobs"
Fitzemeyer & Tocci,Boston,Engineering / BERDO,"BERDO reporting and auditing service for Boston large building owners",https://www.f-t.com/berdo,2,"Engineering consultant; likely not target except small practice carve-out","Indicates Boston incumbent supply"
Absolute Energy Solutions,MA,Mass Save contractor,"No-cost Mass Save home/multifamily assessments, weatherization, landlord/renter channel",https://aesmass.com/energy-efficient-assessments/,4,"Contractor route/service model may be more acquirable; less BERDO-specific","Possible MA small-owner energy concierge anchor"
Touchstone IQ,Newton/Boston,Compliance software/vendor,"Newton benchmarking page; Boston BERDO reporting form uses TouchstoneIQ portal",https://touchstoneiq.com/newton-energy-benchmarking,2,"Software vendor likely not local acquisition; platform dependency risk","Important workflow infrastructure"
NYC Accelerator provider universe,NYC,Marketplace / vendor list,"2025 LL97 Service Provider Expo directory with many vendors across consulting, controls, insulation, HVAC, finance",https://accelerator.nyc/sites/default/files/NYC_Accelerator_2025_LL97_Compliance_Service_Provider_Expo_Vendor_Directory.pdf,NA,"Not a vendor; acquisition hunting pond","Use as lead list for further no-outreach mapping"
