source_date,source,region,state,listing_name,status,asking_price,gross_revenue_or_commissions,cash_flow_sde_or_profit,ebitda,premium_or_book,retention,policies_or_customers,carrier_mix_or_type,staff,transition_training,financing_terms,derived_multiple,notes,url
2026-06-07,BizBuySell,New England,MA,Allstate Agency in Boston MA Area,Active,1200000,528244,,,"$5,863,859 premium; $299,000 Ivantage",76%,,Captive Allstate; 12-year book,2 remote staff,,Seller financing available,2.27x revenue,"Low retention for an agency book; captive transfer and carrier concentration risk; retirement seller.",https://www.bizbuysell.com/business-opportunity/allstate-agency-in-the-boston-ma-area/2475105/
2026-06-07,HedgeStone,NY/NJ,NY,Established Allstate Elite Agency,Active,2550000,996000,675000,,"$9,124,224 premium",89.7%,4249 PIF,Captive Allstate; personal auto/homeowners heavy,6 employees incl. 2 part-time,Support/training included,,2.56x revenue; 3.78x SDE,"Strong stated retention and scale, but personal-lines/captive concentration. Needs Allstate transfer approval and producer continuity.",https://www.hedgestone.com/business-opportunity/70053/established-specialty-insurance-business-for-sale/
2026-06-07,Tupelo,NY/CT,NY,Established Allstate Agency Grossing $900K Netting $480K,Active,2500000,900000,480000,,,"High client loyalty",2575+ active policies,"90% P&C; 5% Life; 5% Commercial; captive Allstate",3-person sales/service team avg. tenure 2+ yrs,,,$2.78x revenue; 5.21x profit,"NY/CT market book; E-Agent system; lease $2,900/month; optional real estate. Captive and personal-lines-heavy.",https://www.tupelosmb.com/marketplace/insurance-agency-for-sale-in-new-york
2026-06-07,BizScout,NY/NJ,NY,Established Property and Casualty Insurance Agency in New York,Active,850000,312500,,,"",,,Independent personal and commercial lines,,,"",3.2x sales multiple shown by BizScout,"Remote-friendly Queens/Long Island book; minimal public data, no SDE disclosed. High implied revenue multiple for thin disclosure.",https://www.bizscout.com/businesses-for-sale/established-property-and-casualty-insurance-agency-in-new-york/52372533
2026-06-07,HedgeStone,NY/NJ,NY,A Proven Property and Casualty Insurance Agency in the Heart of New York,Active,850000,,,,,,,,P&C agency,,,,,"Listed as related HedgeStone opportunity; details behind listing/NDA.",https://www.hedgestone.com/business-opportunity/70053/established-specialty-insurance-business-for-sale/
2026-06-07,HedgeStone,NY/NJ,NY,Branded Insurance Agency Asset Sale,Active,700000,,,,,,,,Branded/captive or franchise agency asset,,,,,"Related HedgeStone opportunity; asset sale language means transfer mechanics need extra diligence.",https://www.hedgestone.com/business-opportunity/70053/established-specialty-insurance-business-for-sale/
2026-06-07,Capital Business Solutions,Florida,FL,18-year-old P&C Insurance Agency in South Florida,Sold,675000,402865,193705,,,"",,Independent P&C plus tag/title services,1 full-time receptionist,4 weeks included,None,1.68x revenue; 3.48x SDE,"Broward tri-county book, owner-operator SDE. Listing says absentee possible only if licensed agents hired. No seller financing.",https://capitalbbw.com/business-for-sale/18-yr-old-insurance-agency-in-south-florida-for-sale
2026-06-07,Tupelo,Florida,FL,Broward Insurance Franchise Pembroke Pines,Active,700000,451599,130444,,,"",,Franchise insurance agency; auto/home/commercial/specialty; bilingual service,,,"Purchaser pays transfer fee; must have 2-20 license",1.55x revenue; 5.37x cash flow,"South Broward storefront. Better as owner-operator; franchise transfer and 2-20 requirement are explicit.",https://www.tupelosmb.com/marketplace/insurance-agency-for-sale
2026-06-07,Tupelo,Florida,FL,Established Insurance Franchise West Palm Beach,Active,1000000,574984,252786,,,"",,Franchise insurance agency; auto/home/commercial/specialty; bilingual service,,,"Must have current 2-20 license",1.74x revenue; 3.96x cash flow,"Palm Beach County storefront. More attractive price/cash-flow ratio than Broward franchise comp, but franchise/captive constraints likely.",https://www.tupelosmb.com/marketplace/insurance-agency-for-sale
2026-06-07,Tupelo,Florida,FL,South Florida recognized insurance-brand franchise / Cook County listing text,Active,1300000,831000,135000,,,3700+ customers / 1700 policies,"Standard and non-standard auto, homeowners, business, boat; Progressive, Citizens, Foremost, Universal, AMWINS and others",Experienced licensed staff to remain,,Buyer pays $17,500 franchise training fee; 220 license required,1.56x revenue; 9.63x cash flow,"Mixed listing text appears Cook County/South Florida brand; nearly half revenue may be registration services, so do not value as pure insurance book.",https://www.tupelosmb.com/marketplace/insurance-agencies-businesses-for-sale
2026-06-07,The Insurance Agency Market,Florida,FL,Personal Lines Agency Coastal Florida Market Fort Lauderdale,Active,,1200000,,,"$9,500,000 book",88%,,Personal auto/homeowners/flood; 10 carriers,,,,,"No asking price/SDE shown. Useful market signal: coastal personal lines needs carrier/loss-ratio scrutiny.",https://theinsuranceagencymarket.com/
2026-06-07,The Insurance Agency Market,Southeast,GA,Established P&C Agency Southeast Market Leader,Active,,2400000,,,"$18,000,000 book",94%,,"Personal auto/homeowners/commercial property; 18 carriers",,,,,"Not in target states but useful benchmark for retention/carrier diversity.",https://theinsuranceagencymarket.com/
2026-06-07,The Insurance Agency Market,Midwest,IL,Commercial Lines Specialist Chicago Suburbs,Active,,3200000,,,"$24,000,000 book",96%,,"Commercial package/workers comp/professional liability; 22 carriers",,,,,"Benchmark for why commercial/specialty agencies get premium buyer attention.",https://theinsuranceagencymarket.com/
